Entry Date,Posting Date,Organization,Organization Branch,Vendor Inv No,Vendor Inv Date,Currency,ExchRate,Narration,Due Date,Charge or GL,Charge or GL Name,Charge or GL Amount,DR or CR,Cost Center,Branch, Charge Narration,TaxGroup,Tax Type,SAC or HSN,Taxcode1,Taxcode1 Amt,Taxcode2,Taxcode2 Amt,Taxcode3,Taxcode3 Amt,Taxcode4,Taxcode4 Amt,Avail Tax Credit,LOB,Ref Type,Ref No,Amount,Start Date,End Date,WH Tax Code,WH Tax Percentage,WH Tax Taxable,WH Tax Amount,Round Off,CC Code
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,HARYANA,MH1252601EJ22363,23-JAN-2026,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO SIN PNR:R5VYTS PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,33981.0,Dr,nil,HO,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,33981.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,Gulf Air B.S.C. (c),HARYANA,TKMHP/2510/04496,21-OCT-2025,INR,1,BEING AMOUNT PAYABLE TO Gulf Air B.S.C. (c) PNR:0722870676002,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,35985.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,6478.0,,,,,,,Yes,,,,44532.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,Gulf Air B.S.C. (c),HARYANA,TKMHP/2510/04496,21-OCT-2025,INR,1,BEING AMOUNT PAYABLE TO Gulf Air B.S.C. (c) PNR:0722870676002,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,2069.0,Dr,nil,HO,,,Non-Taxable,,,,,,,,,,,,,,44532.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,HARYANA,MH1252601EL63162,30-JAN-2026,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO BAH PNR:R57I5S PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,66414.0,Dr,nil,HO,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,66414.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,HARYANA,072612BP11AES686,17-NOV-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM DEL TO BOM PNR:DHE9BI PAX:AGRAWAL NISARG MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,5261.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,263.0,,,,,,,Yes,,,,6001.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,HARYANA,RJ1252611AO09538,30-NOV-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM JDH TO DEL PNR:A9FUUQ PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,257.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,13.0,,,,,,,Yes,,,,270.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,HARYANA,RJ1252611AN16053,18-NOV-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM JDH TO DEL PNR:A9FUUQ PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,8146.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,407.0,,,,,,,Yes,,,,9734.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,HARYANA,MH1252611DK94859,18-NOV-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO JDH PNR:N63F5Z PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,15398.0,Dr,nil,HO,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,15398.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,HARYANA,MP1252611AM07362,02-NOV-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM GWL TO BOM PNR:M2K2SY PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,20038.0,Dr,nil,HO,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,20038.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,SNV Aviation Private Limited,HARYANA,271XYYW9D1125001,01-NOV-2025,INR,1,BEING AMOUNT PAYABLE TO SNV Aviation Private Limited FROM BOM PNR:XYYW9D,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,10518.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,506.0,,,,,,,Yes,,,,10626.0,,,,,,,Yes,
