Entry Date,Posting Date,Organization,Organization Branch,Vendor Inv No,Vendor Inv Date,Currency,ExchRate,Narration,Due Date,Charge or GL,Charge or GL Name,Charge or GL Amount,DR or CR,Cost Center,Branch, Charge Narration,TaxGroup,Tax Type,SAC or HSN,Taxcode1,Taxcode1 Amt,Taxcode2,Taxcode2 Amt,Taxcode3,Taxcode3 Amt,Taxcode4,Taxcode4 Amt,Avail Tax Credit,LOB,Ref Type,Ref No,Amount,Start Date,End Date,WH Tax Code,WH Tax Percentage,WH Tax Taxable,WH Tax Amount,Round Off,CC Code
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,VADODRA,GJ1252606AH26954,04-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO BOM PNR:ETL72L PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,5603.0,Dr,,HARYANA,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,6916.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,VADODRA,GJ1252606AH26954,04-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO BOM PNR:ETL72L PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,1033.0,Dr,,HARYANA,,,Exempt,,,,,,,,,,NA,,,,6916.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,RAJASTHAN,RJ1252606AE51269,29-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM JDH TO BOM PNR:KYZU9H PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,10251.0,Dr,,HARYANA,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,11968.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,RAJASTHAN,RJ1252606AE51269,29-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM JDH TO BOM PNR:KYZU9H PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,1204.0,Dr,,HARYANA,,,Exempt,,,,,,,,,,NA,,,,11968.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,VADODRA,GJ1252606AH45791,05-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO BOM PNR:QYBP2H PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,11541.0,Dr,,HARYANA,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,13151.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,VADODRA,GJ1252606AH45791,05-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO BOM PNR:QYBP2H PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,1033.0,Dr,,HARYANA,,,Exempt,,,,,,,,,,NA,,,,13151.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,SANTACRUZ,MH1252606AX74179,04-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO AMD PNR:J1FMPF PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3955.0,Dr,,HARYANA,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,4596.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,SANTACRUZ,MH1252606AX74179,04-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO AMD PNR:J1FMPF PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,443.0,Dr,,HARYANA,,,Exempt,,,,,,,,,,NA,,,,4596.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,SANTACRUZ,MH1252606AX72571,04-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO AMD PNR:I2MGFP PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3955.0,Dr,,HARYANA,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,4596.0,,,,,,,Yes,
12-Feb-2026,12-Feb-2026,InterGlobe Aviation Limited,SANTACRUZ,MH1252606AX72571,04-Jun-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO AMD PNR:I2MGFP PAX:PNR,12-Feb-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,443.0,Dr,,HARYANA,,,Exempt,,,,,,,,,,NA,,,,4596.0,,,,,,,Yes,
