Entry Date,Posting Date,Organization,Organization Branch,Vendor Inv No,Vendor Inv Date,Currency,ExchRate,Narration,Due Date,Charge or GL,Charge or GL Name,Charge or GL Amount,DR or CR,Cost Center,Branch, Charge Narration,TaxGroup,Tax Type,SAC or HSN,Taxcode1,Taxcode1 Amt,Taxcode2,Taxcode2 Amt,Taxcode3,Taxcode3 Amt,Taxcode4,Taxcode4 Amt,Avail Tax Credit,LOB,Ref Type,Ref No,Amount,Start Date,End Date,WH Tax Code,WH Tax Percentage,WH Tax Taxable,WH Tax Amount,Round Off,CC Code
07-FEB-2026,07-FEB-2026,SNV Aviation Private Limited,MAHARASHTRA,272H3QHVV0525002,17-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO SNV Aviation Private Limited FROM BOM PNR:H3QHVV,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,2000.0,Cr,nil,HO,,GSTIN,Taxable,996425,CGST,50.0,SGST,50.0,,,,,Yes,,,,0.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,SNV Aviation Private Limited,MAHARASHTRA,271H3QHVV0525001,14-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO SNV Aviation Private Limited FROM BOM PNR:H3QHVV,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,4188.0,Dr,nil,HO,,GSTIN,Taxable,996425,CGST,100.0,SGST,100.0,,,,,Yes,,,,7.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,SNV Aviation Private Limited,MAHARASHTRA,271H3QHVV0525001,14-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO SNV Aviation Private Limited FROM BOM PNR:H3QHVV,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,236.0,Dr,nil,HO,,,Non-Taxable,,,,,,,,,,,,,,7.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,242622BP04AAJ062,28-APR-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM AMD TO BOM PNR:5S5DV2 PAX:AGRAWAL OMPRAKASH MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,999.04,Cr,nil,HO,,GSTIN,Taxable,996425,IGST,49.95,,,,,,,Yes,,,,1048.99,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,242622BP04AAJ015,28-APR-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM AMD TO BOM PNR:5S5DV2 PAX:AGRAWAL SANJAY MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,999.04,Cr,nil,HO,,GSTIN,Taxable,996425,IGST,49.95,,,,,,,Yes,,,,1048.99,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,242622BP04AAB467,06-APR-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM AMD TO BOM PNR:5S5DV2 PAX:AGRAWAL OMPRAKASH MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,357.0,Cr,nil,HO,,GSTIN,Taxable,996425,IGST,18.0,,,,,,,Yes,,,,375.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,242622BP04AAB322,06-APR-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM AMD TO BOM PNR:5S5DV2 PAX:AGRAWAL SANJAY MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,357.0,Cr,nil,HO,,GSTIN,Taxable,996425,IGST,18.0,,,,,,,Yes,,,,375.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,242622BP04AAB322,06-APR-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM AMD TO BOM PNR:5S5DV2 PAX:AGRAWAL SANJAY MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,357.0,Cr,nil,HO,,GSTIN,Taxable,996425,IGST,18.0,,,,,,,Yes,,,,375.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,242612BP04AAI718,06-APR-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM AMD TO BOM PNR:5S5DV2 PAX:AGRAWAL OMPRAKASH MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,2870.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,144.0,,,,,,,Yes,,,,3958.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,242612BP04AAE898,06-APR-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM AMD TO BOM PNR:5S5DV2 PAX:AGRAWAL SANJAY MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,2870.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,144.0,,,,,,,Yes,,,,3958.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,MH1252604AC02238,06-APR-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO AMD PNR:AYZJGR PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,24198.0,Dr,nil,HO,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,24198.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,GJ1252605AF80617,21-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO DEL PNR:U22NGS PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,4062.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,203.0,,,,,,,Yes,,,,5275.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,SNV Aviation Private Limited,MAHARASHTRA,271OEGH7R0525001,14-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO SNV Aviation Private Limited FROM BOM PNR:OEGH7R,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3581.0,Dr,nil,HO,,GSTIN,Taxable,996425,CGST,86.0,SGST,86.0,,,,,Yes,,,,5.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,SNV Aviation Private Limited,MAHARASHTRA,271OEGH7R0525001,14-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO SNV Aviation Private Limited FROM BOM PNR:OEGH7R,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,236.0,Dr,nil,HO,,,Non-Taxable,,,,,,,,,,,,,,5.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,MH1252604AH93430,21-APR-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO AMD PNR:Z92S4K PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3778.0,Dr,nil,HO,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,4203.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,GJ1252604AC30466,21-APR-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO BOM PNR:B526NT PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3267.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,163.0,,,,,,,Yes,,,,4374.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,GJ1252604AA78450,,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO BOM PNR:T2DEGP PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,5318.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,266.0,,,,,,,Yes,,,,7472.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,TS1252604AB77555,,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM HYD TO BOM PNR:PZF63F PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,7918.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,396.0,,,,,,,Yes,,,,10556.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,242612BP05AAO063,15-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM AMD TO BOM PNR:6EMCFX PAX:AGRAWAL OMPRAKASH MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3393.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,170.0,,,,,,,Yes,,,,4507.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,AIR INDIA LTD,MAHARASHTRA,272612BP05ADB428,15-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO AIR INDIA LTD FROM BOM TO AMD PNR:6EMY4C PAX:AGRAWAL OMPRAKASH MR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3962.0,Dr,nil,HO,,GSTIN,Taxable,996425,CGST,99.5,SGST,99.5,,,,,Yes,,,,4397.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,GJ1252605AF13018,15-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO BOM PNR:Y492PM PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3715.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,185.0,,,,,,,Yes,,,,4844.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,GJ1252605AF37082,17-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM AMD TO BOM PNR:Y492PM PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,3448.0,Dr,nil,HO,,GSTIN,Taxable,996425,IGST,172.0,,,,,,,Yes,,,,4653.0,,,,,,,Yes,
07-FEB-2026,07-FEB-2026,InterGlobe Aviation Limited,MAHARASHTRA,MH1252605AS30775,20-MAY-2025,INR,1,BEING AMOUNT PAYABLE TO InterGlobe Aviation Limited FROM BOM TO DXB PNR:D9HQNX PAX:PNR,07-FEB-2026,TRAVELLING EXPENSES,TRAVELLING EXPENSES,13521.0,Dr,nil,HO,,GSTIN,Taxable,996425,,,,,,,,,Yes,,,,13521.0,,,,,,,Yes,
